date,close_price_PAXGUSD,return_PAXGUSD,signal_PAXGUSD,position_PAXGUSD,signal_return_PAXGUSD,signal_basket_return,cum_signal_basket_return,cum_return_PAXGUSD,cum_signal_return_PAXGUSD
2019-09-26 00:00:00,1516.51062,,0,0.5,,0,0,,
2019-09-27 00:00:00,1528.73999,0.008064151,0,0.5,0.004032075,0.004032075,0.004032075,0.008064151,0.004032075
2019-09-28 00:00:00,1525.717896,-0.001976853,0,0.5,-0.000988427,-0.000988427,0.003039663,0.006071356,0.003039663
2019-09-29 00:00:00,1528.866577,0.002063738,0,0.5,0.001031869,0.001031869,0.004074669,0.008147623,0.004074669
2019-09-30 00:00:00,1513.878052,-0.009803684,0,0.5,-0.004901842,-0.004901842,-0.000847147,-0.001735938,-0.000847147
2019-10-01 00:00:00,1499.513794,-0.009488385,0,0.5,-0.004744193,-0.004744193,-0.00558732,-0.011207852,-0.00558732
2019-10-02 00:00:00,1466.40979,-0.022076492,0,0.5,-0.011038246,-0.011038246,-0.016563892,-0.033036913,-0.016563892
2019-10-03 00:00:00,1496.991821,0.020855038,0,0.5,0.010427519,0.010427519,-0.006309094,-0.012870862,-0.006309094
2019-10-04 00:00:00,1510.148193,0.00878854,0,0.5,0.00439427,0.00439427,-0.001942548,-0.004195438,-0.001942548
2019-10-05 00:00:00,1497.579712,-0.008322681,0,0.5,-0.00416134,-0.00416134,-0.006095804,-0.012483202,-0.006095804
2019-10-06 00:00:00,1535.483398,0.025309963,0,0.5,0.012654981,0.012654981,0.006482035,0.012510811,0.006482035
2019-10-07 00:00:00,1532.645508,-0.001848207,0,0.5,-0.000924103,-0.000924103,0.005551941,0.010639482,0.005551941
2019-10-08 00:00:00,1530.318237,-0.001518466,0,0.5,-0.000759233,-0.000759233,0.004788493,0.00910486,0.004788493
2019-10-09 00:00:00,1520.464478,-0.006439027,0,0.5,-0.003219513,-0.003219513,0.001553563,0.002607207,0.001553563
2019-10-10 00:00:00,1534.463989,0.009207392,0,0.5,0.004603696,0.004603696,0.006164411,0.011838604,0.006164411
2019-10-11 00:00:00,1538.644165,0.002724193,0,0.5,0.001362096,0.001362096,0.007534904,0.014595048,0.007534904
2019-10-12 00:00:00,1518.955811,-0.012795911,0,0.5,-0.006397956,-0.006397956,0.00108874,0.001612379,0.00108874
